epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8973,1.65376,2.01769,1.35004,0.47403,0.38622,0.38002,0.20242,1.66259,2.18748,1.4316,0.0669814,0.000165923,0.000165923
2,43.6912,1.51289,1.44247,1.26096,0.66203,0.4716,0.50299,0.28868,1.59041,1.77861,1.32944,0.0338114,0.000329297,0.000329297
3,63.4603,1.47229,1.28517,1.23401,0.60378,0.52199,0.53799,0.30161,1.62098,1.61114,1.3269,0.00063818,0.000489371,0.000489371
4,83.4886,1.4269,1.21268,1.21232,0.64189,0.54477,0.57433,0.32929,1.58018,1.60512,1.32752,0.00048515,0.00048515,0.00048515
5,103.635,1.38017,1.11109,1.18535,0.70671,0.56826,0.61422,0.34701,1.5362,1.47473,1.28142,0.0004802,0.0004802,0.0004802
6,123.567,1.3427,1.04872,1.16712,0.76506,0.56809,0.64897,0.38284,1.51838,1.40064,1.26665,0.00047525,0.00047525,0.00047525
7,143.413,1.32319,1.0022,1.15454,0.73757,0.61602,0.6775,0.38642,1.51254,1.29961,1.26518,0.0004703,0.0004703,0.0004703
8,163.27,1.27932,0.92851,1.13064,0.73142,0.61778,0.67087,0.38166,1.55774,1.35118,1.28402,0.00046535,0.00046535,0.00046535
9,182.906,1.24822,0.89337,1.11624,0.78531,0.64209,0.71199,0.42287,1.52531,1.2089,1.27625,0.0004604,0.0004604,0.0004604
10,202.808,1.21589,0.85938,1.09885,0.73559,0.64754,0.69274,0.38948,1.53152,1.26446,1.27346,0.00045545,0.00045545,0.00045545
11,222.644,1.20828,0.84027,1.09599,0.77127,0.66363,0.71635,0.42004,1.53581,1.1967,1.27436,0.0004505,0.0004505,0.0004505
12,242.274,1.17217,0.79953,1.0786,0.75068,0.65831,0.70518,0.40954,1.55366,1.23377,1.29092,0.00044555,0.00044555,0.00044555
13,262.148,1.15676,0.77866,1.07138,0.76706,0.63227,0.69311,0.39336,1.53419,1.31505,1.26721,0.0004406,0.0004406,0.0004406
14,281.794,1.1443,0.77159,1.06343,0.77292,0.64307,0.70161,0.40626,1.55091,1.26647,1.29624,0.00043565,0.00043565,0.00043565
15,301.655,1.13014,0.75543,1.0573,0.78152,0.64273,0.70678,0.41144,1.56872,1.20957,1.29467,0.0004307,0.0004307,0.0004307
16,321.616,1.10808,0.73426,1.04811,0.74769,0.65293,0.69986,0.40841,1.54992,1.2303,1.27659,0.00042575,0.00042575,0.00042575
17,341.32,1.08961,0.71814,1.04131,0.74685,0.67833,0.72076,0.43363,1.51538,1.20428,1.27498,0.0004208,0.0004208,0.0004208
18,361.335,1.07264,0.70149,1.03504,0.7655,0.676,0.71586,0.41359,1.56012,1.2077,1.27941,0.00041585,0.00041585,0.00041585
19,381.06,1.04692,0.68558,1.021,0.77806,0.62822,0.70324,0.42897,1.51335,1.24986,1.28677,0.0004109,0.0004109,0.0004109
20,401.609,1.04595,0.67476,1.02064,0.78832,0.64781,0.711,0.41747,1.55067,1.22168,1.30107,0.00040595,0.00040595,0.00040595
21,421.379,1.0261,0.66322,1.01326,0.77844,0.64664,0.70749,0.4277,1.51432,1.2199,1.26763,0.000401,0.000401,0.000401
22,441.204,1.00231,0.646,1.00468,0.78652,0.67228,0.72458,0.41884,1.54059,1.19154,1.28218,0.00039605,0.00039605,0.00039605
